 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  21. 5.2021    Time:  17:50:46
 Units: L = m    , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
     6541  0.2060000E+03  0.64347E-02    5    31218    -4     1     T
     6648  0.2070000E+03  0.13708E-01    4    31881     4     1     T
     6726  0.2080000E+03  0.24571E-01    4    32195    -4     1     T
     6829  0.2090000E+03  0.17723E-01    4    32606    -4     1     T
     6872  0.2100000E+03  0.31772E-01    3    32775    -4     1     T
     6912  0.2110000E+03  0.46781E-01    4    33315     4     1     T
     6932  0.2120000E+03  0.50256E-01    3    33392     4     1     T
     6944  0.2130000E+03  0.83186E-01    5    33452     4     1     T
     7072  0.2140000E+03  0.16218E-01    4    34209    -4     1     T
     7200  0.2150000E+03  0.98418E-02    4    34778    -4     1     T
     7263  0.2160000E+03  0.28688E-01    3    35027    -4     1     T
     7308  0.2170000E+03  0.42165E-01    4    35762     4     1     T
     7400  0.2180000E+03  0.30667E-01    4    36142    -4     1     T
     7436  0.2190000E+03  0.72513E-01    4    36260    -4     1     T
     7461  0.2200000E+03  0.89373E-01    3    36325    -4     1     T
     7488  0.2210000E+03  0.20587E-01    2    36961     4     1     T
     7558  0.2220000E+03  0.61930E-01    5    37245    -4     1     T
     7572  0.2230000E+03  0.91004E-01    6    37304    -4     1     T
     7609  0.2240000E+03  0.11032E+00    3    38030     4     1     T
     7616  0.2250000E+03  0.14286E+00    4    38058     4     1     T
     7623  0.2260000E+03  0.14286E+00    4    38086     4     1     T
     7630  0.2270000E+03  0.14286E+00    4    38114     4     1     T
     7815  0.2280000E+03  0.89911E-02    5    38915    -4     1     T
     7888  0.2290000E+03  0.37883E-01    5    39223    -4     1     T
     7939  0.2300000E+03  0.96145E-01    6    39411    -4     1     T
     7969  0.2310000E+03  0.67051E-01    6    39516    -4     1     T
     8002  0.2320000E+03  0.25107E-01    2    40128     4     1     T
     8013  0.2330000E+03  0.16360E+00    4    40164     4     1     T
     8239  0.2340000E+03  0.46729E-02    5    41220    -4     1     T
     8385  0.2350000E+03  0.16864E-01    4    41838    -4     1     T
     8435  0.2360000E+03  0.14886E-01    2    42347     4     1     T
     8487  0.2370000E+03  0.72517E-01    4    42554    -4     1     T
     8499  0.2380000E+03  0.99885E-01    5    42606    -4     1     T
     8637  0.2390000E+03  0.13665E-01    4    43202    -4     1     T
     8701  0.2400000E+03  0.36334E-01    4    43438    -4     1     T
     8735  0.2410000E+03  0.49950E-01    4    43550    -4     1     T
     8822  0.2420000E+03  0.18603E-01    4    43888    -4     1     T
     8876  0.2430000E+03  0.29355E-01    4    44086    -4     1     T
     8901  0.2440000E+03  0.73697E-01    4    44183    -4     1     T
     8929  0.2450000E+03  0.69169E-01    5    44279    -4     1     T
     8957  0.2460000E+03  0.76232E-01    5    44774     4     1     T
     9003  0.2470000E+03  0.53818E-01    4    44956    -4     1     T
     9029  0.2480000E+03  0.52336E-01    4    45252     4     1     T
     9069  0.2490000E+03  0.66846E-01    4    45404    -4     1     T
     9092  0.2500000E+03  0.82990E-01    4    45776     4     1     T
     9104  0.2510000E+03  0.83993E-01    4    45824     4     1     T
     9212  0.2520000E+03  0.14421E-01    4    46296    -4     1     T
     9261  0.2530000E+03  0.36316E-01    5    46481    -4     1     T
     9280  0.2540000E+03  0.66135E-01    3    46562    -4     1     T
     9309  0.2550000E+03  0.52123E-01    4    47145     4     1     T
     9389  0.2560000E+03  0.34007E-01    4    47481    -4     1     T
     9438  0.2570000E+03  0.21555E-01    5    47692    -4     1     T
     9485  0.2580000E+03  0.21555E-01    5    47907    -4     1     T
     9518  0.2590000E+03  0.36036E-01    4    48045    -4     1     T
     9552  0.2600000E+03  0.49946E-01    3    48152    -4     1     T
     9564  0.2610000E+03  0.82699E-01    4    48201    -4     1     T
     9572  0.2620000E+03  0.15949E+00    5    48238    -4     1     T
     9616  0.2630000E+03  0.68536E-01    3    48394    -4     1     T
     9625  0.2640000E+03  0.13783E+00    6    48434    -4     1     T
     9640  0.2650000E+03  0.99465E-02    2    48791     4     1     T
     9657  0.2660000E+03  0.14806E+00    5    48942     4     1     T
     9664  0.2670000E+03  0.14286E+00    3    48973     4     1     T
     9668  0.2680000E+03  0.31250E+00    5    48989     4     1     T
     9671  0.2690000E+03  0.33333E+00    3    49000     4     1     T
     9981  0.2700000E+03  0.50805E-02    5    50370    -4     1     T
    10113  0.2710000E+03  0.13532E-01    5    50923    -4     1     T
    10186  0.2720000E+03  0.13149E-01    4    51230    -4     1     T
    10245  0.2730000E+03  0.23047E-01    4    51464    -4     1     T
    10282  0.2740000E+03  0.30106E-01    3    51610    -4     1     T
    10307  0.2750000E+03  0.40939E-01    4    51710    -4     1     T
    10333  0.2760000E+03  0.48632E-01    4    52000     4     1     T
    10350  0.2770000E+03  0.60573E-01    4    52067     4     1     T
    10364  0.2780000E+03  0.82557E-01    4    52123     4     1     T
    10377  0.2790000E+03  0.76483E-01    4    52175     4     1     T
    10388  0.2800000E+03  0.10198E+00    4    52221     4     1     T
    10398  0.2810000E+03  0.10000E+00    4    52261     4     1     T
    10408  0.2820000E+03  0.10000E+00    4    52301     4     1     T
    10418  0.2830000E+03  0.10000E+00    4    52341     4     1     T
    10427  0.2840000E+03  0.15000E+00    5    52378     4     1     T
    10435  0.2850000E+03  0.12500E+00    4    52410     4     1     T
    10443  0.2860000E+03  0.12500E+00    4    52442     4     1     T
    10493  0.2870000E+03  0.44125E-01    4    52658    -4     1     T
    10521  0.2880000E+03  0.67916E-01    4    52743    -4     1     T
    10546  0.2890000E+03  0.92635E-01    5    52818    -4     1     T
    10557  0.2900000E+03  0.16540E+00    5    52867    -4     1     T
    10564  0.2910000E+03  0.17778E+00    3    52892    -4     1     T
    10589  0.2920000E+03  0.11004E+00    3    52957    -4     1     T
    10621  0.2930000E+03  0.65846E-01    4    53061    -4     1     T
    10654  0.2940000E+03  0.37543E-01    5    53190    -4     1     T
    10696  0.2950000E+03  0.39956E-01    4    53341    -4     1     T
    10715  0.2960000E+03  0.66135E-01    3    53415    -4     1     T
    10726  0.2970000E+03  0.12405E+00    4    53462    -4     1     T
    10759  0.2980000E+03  0.93194E-01    3    53568    -4     1     T
    10781  0.2990000E+03  0.19550E+00    4    53619    -4     1     T
    10786  0.3000000E+03  0.20000E+00    4    53639    -4     1     T
    10814  0.3010000E+03  0.92816E-01    3    53721    -4     1     T
    10821  0.3020000E+03  0.14286E+00    3    53747    -4     1     T
    10824  0.3030000E+03  0.37500E+00    5    53760    -4     1     T
    10846  0.3040000E+03  0.19550E+00    4    53807    -4     1     T
    10868  0.3050000E+03  0.19550E+00    4    53854    -4     1     T
    10873  0.3060000E+03  0.20000E+00    4    53873    -4     1     T
    10895  0.3070000E+03  0.19550E+00    3    53922    -4     1     T
    11010  0.3080000E+03  0.13459E-01    5    54422    -4     1     T
    11125  0.3090000E+03  0.11986E-01    4    54932    -4     1     T
    11197  0.3100000E+03  0.25796E-01    5    55234    -4     1     T
    11244  0.3110000E+03  0.31365E-01    4    55399    -4     1     T
    11328  0.3120000E+03  0.24030E-01    4    55723    -4     1     T
    11379  0.3130000E+03  0.29173E-01    4    55903    -4     1     T
    11405  0.3140000E+03  0.38819E-01    5    56020    -4     1     T
    11457  0.3150000E+03  0.35584E-01    4    56207    -4     1     T
    11492  0.3160000E+03  0.59940E-01    5    56322    -4     1     T
    11510  0.3170000E+03  0.62761E-01    4    56394    -4     1     T
    11538  0.3180000E+03  0.64844E-01    3    56473    -4     1     T
    11550  0.3190000E+03  0.82699E-01    4    56521    -4     1     T
    11616  0.3200000E+03  0.40005E-01    4    56775    -4     1     T
    11641  0.3210000E+03  0.40939E-01    4    56875    -4     1     T
    11674  0.3220000E+03  0.49431E-01    4    56982    -4     1     T
    11702  0.3230000E+03  0.80931E-01    4    57063    -4     1     T
    11713  0.3240000E+03  0.11027E+00    5    57109    -4     1     T
    11737  0.3250000E+03  0.10427E+00    4    57170    -4     1     T
    11819  0.3260000E+03  0.23238E-01    4    57487    -4     1     T
    11867  0.3270000E+03  0.31795E-01    3    57658    -4     1     T
    11901  0.3280000E+03  0.51672E-01    4    57768    -4     1     T
    11918  0.3290000E+03  0.65613E-01    5    57844    -4     1     T
    11955  0.3300000E+03  0.65910E-01    4    57967    -4     1     T
    11980  0.3310000E+03  0.89373E-01    5    58043    -4     1     T
    11991  0.3320000E+03  0.12405E+00    6    58091    -4     1     T
    12000  0.3330000E+03  0.11111E+00    2    58125    -4     1     T
    12022  0.3340000E+03  0.19550E+00    4    58175    -4     1     T
    12044  0.3350000E+03  0.19550E+00    5    58225    -4     1     T
    12068  0.3360000E+03  0.12351E+00    3    58288    -4     1     T
    12090  0.3370000E+03  0.19550E+00    5    58341    -4     1     T
    12112  0.3380000E+03  0.19550E+00    6    58394    -4     1     T
